4.349936676025390625e+01 6.793822600360817887e+01 1.004288487832419037e+02
4.294802093505859375e+01 7.598353898132512541e+01 1.112795162959735507e+02
4.361896514892578125e+01 7.034816022513714984e+01 9.685009739729477474e+01
4.344682693481445312e+01 6.857497620690337214e+01 1.018995180667559737e+02
4.235605621337890625e+01 7.361069720205374267e+01 1.054462238897253599e+02
4.334648895263671875e+01 6.838102026697576719e+01 9.559642884365301541e+01
4.312435150146484375e+01 7.015079594624012316e+01 9.361989471160721621e+01
4.320186614990234375e+01 7.079552749453928584e+01 9.352888242444964817e+01
4.395412826538085938e+01 7.160464429155359767e+01 9.928952470297545574e+01
4.314353942871093750e+01 7.033400769858353385e+01 9.489589211825932580e+01
4.249036788940429688e+01 7.238432238466903357e+01 8.823979113950346687e+01
4.290190887451171875e+01 6.985271959483213777e+01 1.018897443727275345e+02
4.219937896728515625e+01 7.862749946958068392e+01 1.024057301368977306e+02
4.323817825317382812e+01 7.248447389694854337e+01 1.016730524376253584e+02
4.386577224731445312e+01 7.181505229233658838e+01 1.064646441519582112e+02
4.298342132568359375e+01 7.228494730218946529e+01 1.017884773845656099e+02
4.259870147705078125e+01 7.233447768521969579e+01 1.120839639525746918e+02
4.237727737426757812e+01 7.159610057706794350e+01 1.123756557659178981e+02
4.287566757202148438e+01 6.953791993011556372e+01 1.042622842584245433e+02
4.317034149169921875e+01 6.992728340499992612e+01 1.092280116874196523e+02
4.386653518676757812e+01 6.765335017370915693e+01 1.100943797279989838e+02
4.291125488281250000e+01 7.047729897145883626e+01 1.046689861939896815e+02
4.180780792236328125e+01 7.019737491266810991e+01 1.006170367329486908e+02
4.213563537597656250e+01 6.960019963452145930e+01 1.038808679254072445e+02
4.165786361694335938e+01 7.240709035141419747e+01 1.020306586114878939e+02
4.155079650878906250e+01 7.283888505737130004e+01 9.864658063045993686e+01
4.225353240966796875e+01 7.001361982435911102e+01 8.855299612189804748e+01
4.377879333496093750e+01 6.811548591292142873e+01 9.598931467886686164e+01
4.263429260253906250e+01 7.087025218926837056e+01 9.995704952872615934e+01
4.183129119873046875e+01 7.340661288756169256e+01 1.025383473802056216e+02
4.169360733032226562e+01 7.292576020531288350e+01 9.151014248619971170e+01
4.183641815185546875e+01 7.172461094405953475e+01 8.720233141748656180e+01
4.144249343872070312e+01 7.629156172631041954e+01 8.301465609959142000e+01
4.053116226196289062e+01 7.222605563269848972e+01 8.560834246515032930e+01
3.999277496337890625e+01 7.462594485207779371e+01 8.726469194820367647e+01
4.025417709350585938e+01 7.366074494656480454e+01 8.530429911758410810e+01
